comment_id,video_id,text,text_original,author_display_name,author_profile_image_url,author_channel_url,author_channel_id,like_count,published_at,updated_at,is_reply,parent_id,total_reply_count,is_valid,extracted_at,sentiment_polarity,sentiment_subjectivity,vader_compound,vader_positive,vader_negative,vader_neutral,sentiment_label,emotion_strength,is_subjective,sentiment_analyzed_at
UgxyfukBUOfkO-6nwzR4AaABAg,GfH4QL4VqJ0,"Have waited for this to be released. Now I am here, so happy. Hey to all my Ugandan 🇺🇬 Pythonistas!","Have waited for this to be released. Now I am here, so happy. Hey to all my Ugandan 🇺🇬 Pythonistas!",@SsaliJonathan,https://yt3.ggpht.com/OXaFTqrdkdiNAoZyk6ZJtS8PYdOU63xzJ6oi5IumYalg_i4cPsgQTfhYisLSnQqdsk1_rEtl=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@SsaliJonathan,UC4AYRvDw3yh-ChonxxW6VLA,87,2025-08-27T11:26:12Z,2025-08-28T16:19:13Z,False,,2,True,2025-10-02T18:36:47.795241,1.0,1.0,0.7213,0.209,0.0,0.791,positive,strong,True,2025-10-02T11:36:47.795647
UgxyfukBUOfkO-6nwzR4AaABAg.AMKL0HZKiw_AMQDtuKkR09,GfH4QL4VqJ0,We are together my neighbour 🇹🇿,We are together my neighbour 🇹🇿,@aggu08,https://yt3.ggpht.com/ytc/AIdro_mrMA9X8RPQo_LB4hmvGGebmeXeukWrMzeQmFQFigA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@aggu08,UCczowfUFg50xRdTL63Euc7Q,7,2025-08-29T18:19:28Z,2025-08-29T18:19:28Z,True,UgxyfukBUOfkO-6nwzR4AaABAg.AMKL0HZKiw_AMQDtuKkR09,0,True,2025-10-02T18:36:47.795770,0.0,0.0,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.795997
UgxyfukBUOfkO-6nwzR4AaABAg.AMKL0HZKiw_AM_Vw4No6sj,GfH4QL4VqJ0,heyy not ugandan but living there,heyy not ugandan but living there,@ammall472,https://yt3.ggpht.com/yy9oi7o8n7hX2YF4E-Tf2wmM7phC4smI2x9KVEWN0GY3NzF0uA04OT6D69pP67sLGH5Se_3MkA=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@ammall472,UCJBJqnnFp1N1kqwsnsgbqCg,1,2025-09-02T18:09:28Z,2025-09-02T18:09:28Z,True,UgxyfukBUOfkO-6nwzR4AaABAg.AMKL0HZKiw_AM_Vw4No6sj,0,True,2025-10-02T18:36:47.796117,0.0,0.0,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.796320
Ugwd-MIlpyipKTnsgwp4AaABAg,GfH4QL4VqJ0,"That was wonderful. I first came across Python in around 1999 when as a C++ guy I found it was using disk space in my Linux installation and wondered what it was. It wasn&#39;t until the following year that one day at lunch time I bought a little book called about Python in the newsagent at the bottom of the Boeing building where I was working. I fell in love and 25 years later I&#39;m still writing Python almost every day and still loving it. It&#39;s going from strength to strength still, especially in the last year, and this documentary coming out now is perfect. Congratulations to all involved and thank you so much.","That was wonderful. I first came across Python in around 1999 when as a C++ guy I found it was using disk space in my Linux installation and wondered what it was. It wasn't until the following year that one day at lunch time I bought a little book called about Python in the newsagent at the bottom of the Boeing building where I was working. I fell in love and 25 years later I'm still writing Python almost every day and still loving it. It's going from strength to strength still, especially in the last year, and this documentary coming out now is perfect. Congratulations to all involved and thank you so much.",@nevdelap6735,https://yt3.ggpht.com/ytc/AIdro_nvu4wubdKYK_W15QWL8eguXWXAXwyMKEINOYKc3yr0rRQ=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@nevdelap6735,UCTpy8Acwxv6zirB1p654q-A,21,2025-08-30T13:51:28Z,2025-08-30T14:09:38Z,False,,1,True,2025-10-02T18:36:47.797414,0.28020833333333334,0.4791666666666667,0.9823,0.211,0.0,0.789,positive,strong,False,2025-10-02T11:36:47.799371
Ugwd-MIlpyipKTnsgwp4AaABAg.AMSK0pGD_BHAMW2SIxdLMv,GfH4QL4VqJ0,Thank you for sharing with us! And you&#39;re very welcome :),Thank you for sharing with us! And you're very welcome :),@cultrepo,https://yt3.ggpht.com/JEY96H2ij7Xg9YaKv8vNZLu4M_Y2XzF_Zcx4GihTk0imoAdHTmwIlFWrygX0Z41rSNvP5Eud=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cultrepo,UCsUalyRg43M8D60mtHe6YcA,2,2025-09-01T00:34:53Z,2025-09-01T00:34:53Z,True,Ugwd-MIlpyipKTnsgwp4AaABAg.AMSK0pGD_BHAMW2SIxdLMv,0,True,2025-10-02T18:36:47.799538,0.75,1.0,0.9035,0.635,0.0,0.365,positive,strong,True,2025-10-02T11:36:47.799887
UgzDI_DCSYgRpaDccXx4AaABAg,GfH4QL4VqJ0,This was super interesting! Everyone involved in making this should be proud of the work you&#39;ve done. Y&#39;all did a great job!,This was super interesting! Everyone involved in making this should be proud of the work you've done. Y'all did a great job!,@coreyms,https://yt3.ggpht.com/ytc/AIdro_lD6K9DGGqWttThktCDttOdlHIHWZQ7Gcdd9WRSEqYUxw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@coreyms,UCCezIgC97PvUuR4_gbFUs5g,16,2025-09-03T00:48:36Z,2025-09-03T00:48:36Z,False,,0,True,2025-10-02T18:36:47.800164,0.6895833333333333,0.7291666666666666,0.937,0.444,0.0,0.556,positive,strong,True,2025-10-02T11:36:47.800648
UgyhSACluREkBO4Rprd4AaABAg,GfH4QL4VqJ0,"This is the most wonderful documentary I have seen in a veeeeery looooong time, if not ever! Probably because it hits so close. I am deeply touched. Huge thanks to Guido and other Python creators and maintainers, and thanks to the documentary creators! Impressive work!","This is the most wonderful documentary I have seen in a veeeeery looooong time, if not ever! Probably because it hits so close. I am deeply touched. Huge thanks to Guido and other Python creators and maintainers, and thanks to the documentary creators! Impressive work!",@petrposik2133,https://yt3.ggpht.com/ytc/AIdro_lWDAzjaMPNAv11eIH8UzKXaty8uAxnfCqWH3SvttAcujo=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@petrposik2133,UCSAhgX-pYc9iV_RonLXubQQ,114,2025-08-29T11:20:28Z,2025-08-29T11:20:28Z,False,,2,True,2025-10-02T18:36:47.801155,0.3175,0.4575,0.9502,0.296,0.0,0.704,positive,strong,False,2025-10-02T11:36:47.801978
UgyhSACluREkBO4Rprd4AaABAg.AMPTx1DKidtAMPYQANXxxa,GfH4QL4VqJ0,"Wow, what a comment. So glad you enjoyed it 🙏","Wow, what a comment. So glad you enjoyed it 🙏",@cultrepo,https://yt3.ggpht.com/JEY96H2ij7Xg9YaKv8vNZLu4M_Y2XzF_Zcx4GihTk0imoAdHTmwIlFWrygX0Z41rSNvP5Eud=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@cultrepo,UCsUalyRg43M8D60mtHe6YcA,5,2025-08-29T11:59:32Z,2025-08-29T11:59:32Z,True,UgyhSACluREkBO4Rprd4AaABAg.AMPTx1DKidtAMPYQANXxxa,0,True,2025-10-02T18:36:47.802123,0.3666666666666667,0.9,0.9048,0.584,0.0,0.416,positive,strong,True,2025-10-02T11:36:47.802461
UgyhSACluREkBO4Rprd4AaABAg.AMPTx1DKidtAMUCHkrfI36,GfH4QL4VqJ0,"Could not agree more. There were moments it felt, powerful. I even shed a couple tears in the second half hearing Mariatta tell her story. Wonderful job everyone involved from producing the documentary to the people it covered as well.","Could not agree more. There were moments it felt, powerful. I even shed a couple tears in the second half hearing Mariatta tell her story. Wonderful job everyone involved from producing the documentary to the people it covered as well.",@jwno-tube,https://yt3.ggpht.com/wJFq0guqKFdgXB0jBD6jKs8P2PBS5JkLOc67uJ3918Ecis6aCC_xRZkmVsV_vkBT8qtmzTtB=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jwno-tube,UCXYWaRyuWub7zztZIgCDhzg,3,2025-08-31T07:22:21Z,2025-08-31T07:22:21Z,True,UgyhSACluREkBO4Rprd4AaABAg.AMPTx1DKidtAMUCHkrfI36,0,True,2025-10-02T18:36:47.802917,0.2722222222222222,0.4444444444444445,0.6798,0.181,0.084,0.735,positive,strong,False,2025-10-02T11:36:47.803647
UgxIg2LS8VqE7Tcg0vx4AaABAg,GfH4QL4VqJ0,"I&#39;m 65. Studied Pascal, COBOL, Basic, Turbo C and some 8086 machine code 30 plus years ago. Never did anything with them. Now, I&#39;m trying to get back in shape logically speaking with C# and now looking at Python.","I'm 65. Studied Pascal, COBOL, Basic, Turbo C and some 8086 machine code 30 plus years ago. Never did anything with them. Now, I'm trying to get back in shape logically speaking with C# and now looking at Python.",@lylewyant3356,https://yt3.ggpht.com/s8nY1L6TbS-To0dhoLmEo2GJiB-61HkICA3V8UD8WXmDTEAeczYbLwujVesRLnAko0uVrhEc1Q=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@lylewyant3356,UCI_3bsTXSzR8Ec-xQsUTHiw,46,2025-09-02T19:34:54Z,2025-09-02T19:34:54Z,False,,8,True,2025-10-02T18:36:47.804067,0.08333333333333333,0.125,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.804584
UgxIg2LS8VqE7Tcg0vx4AaABAg.AM_ehsm4yb8AMbw7SCmTKg,GfH4QL4VqJ0,Same here!,Same here!,@jdstewart4915,https://yt3.ggpht.com/ytc/AIdro_nuo4A9jPgGK1Gf836RTeTlVIJRrL0TLaAh2e7ojbRPUDw=s48-c-k-c0x00ffffff-no-rj,http://www.youtube.com/@jdstewart4915,UC1FfySvIyE3aKih2cSBWm8A,1,2025-09-03T16:45:33Z,2025-09-03T16:45:33Z,True,UgxIg2LS8VqE7Tcg0vx4AaABAg.AM_ehsm4yb8AMbw7SCmTKg,0,True,2025-10-02T18:36:47.804656,0.0,0.125,0.0,0.0,0.0,1.0,neutral,weak,False,2025-10-02T11:36:47.804842
